weather,time_str,city,order_type,time_hour,time_segment,weather_type,recommended_dish
Fog,21:55,Metropolitian,Snack,21,Dinner,Cool/Rainy,Biryani
Stormy,14:55,Metropolitian,Meal,14,Lunch,Cool/Rainy,North Indian
Sandstorms,17:30,Metropolitian,Drinks,17,Tea-Time,Hot/Dry,Chaat
Sandstorms,09:20,Metropolitian,Buffet,9,Morning,Hot/Dry,North Indian
Fog,19:50,Metropolitian,Snack,19,Dinner,Cool/Rainy,Biryani
Sandstorms,20:25,Metropolitian,Buffet,20,Dinner,Hot/Dry,Biryani
Windy,14:55,Metropolitian,Meal,14,Lunch,Hot/Dry,North Indian
Sandstorms,20:30,Metropolitian,Snack,20,Dinner,Hot/Dry,Biryani
Cloudy,20:40,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Windy,21:15,Urban,Meal,21,Dinner,Hot/Dry,Biryani
Sandstorms,20:20,Metropolitian,Snack,20,Dinner,Hot/Dry,Biryani
Sandstorms,22:30,Metropolitian,Meal,22,Dinner,Hot/Dry,Biryani
Sandstorms,08:15,Metropolitian,Snack,8,Morning,Hot/Dry,North Indian
Windy,19:30,Metropolitian,Meal,19,Dinner,Hot/Dry,Biryani
Cloudy,12:25,Metropolitian,Buffet,12,Lunch,Cool/Rainy,North Indian
Sunny,18:35,Metropolitian,Meal,18,Tea-Time,Hot/Dry,Chaat
Stormy,20:35,Urban,Snack,20,Dinner,Cool/Rainy,Biryani
Cloudy,23:20,Metropolitian,Drinks,23,Late-Night,Cool/Rainy,Pizza
Windy,21:20,Metropolitian,Buffet,21,Dinner,Hot/Dry,Biryani
Windy,23:35,Urban,Buffet,23,Late-Night,Hot/Dry,Pizza
Sandstorms,22:35,Metropolitian,Drinks,22,Dinner,Hot/Dry,Biryani
Stormy,22:35,Urban,Drinks,22,Dinner,Cool/Rainy,Biryani
Sandstorms,23:25,Urban,Buffet,23,Late-Night,Hot/Dry,Pizza
Cloudy,13:35,Urban,Drinks,13,Lunch,Cool/Rainy,North Indian
Stormy,21:35,Urban,Snack,21,Dinner,Cool/Rainy,Biryani
Cloudy,22:35,Metropolitian,Drinks,22,Dinner,Cool/Rainy,Biryani
Sunny,18:55,Metropolitian,Snack,18,Tea-Time,Hot/Dry,Chaat
Windy,14:15,Urban,Snack,14,Lunch,Hot/Dry,North Indian
Sandstorms,0.458333333,Metropolitian,Meal,12,Lunch,Hot/Dry,North Indian
Sunny,09:45,Urban,Snack,9,Morning,Hot/Dry,North Indian
Stormy,08:40,Metropolitian,Buffet,8,Morning,Cool/Rainy,North Indian
Fog,0.958333333,Metropolitian,Snack,12,Lunch,Cool/Rainy,North Indian
Cloudy,17:25,Metropolitian,Snack,17,Tea-Time,Cool/Rainy,Chaat
Cloudy,,Metropolitian,Drinks,12,Lunch,Cool/Rainy,North Indian
Sandstorms,19:45,Metropolitian,Snack,19,Dinner,Hot/Dry,Biryani
Stormy,19:10,Metropolitian,Snack,19,Dinner,Cool/Rainy,Biryani
Fog,10:55,Urban,Snack,10,Morning,Cool/Rainy,Coffee
Sunny,21:40,Metropolitian,Drinks,21,Dinner,Hot/Dry,Biryani
Windy,0.791666667,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Cloudy,16:45,Urban,Drinks,16,Tea-Time,Cool/Rainy,Chaat
Sunny,11:30,Metropolitian,Snack,11,Lunch,Hot/Dry,North Indian
Fog,15:10,Metropolitian,Snack,15,Lunch,Cool/Rainy,North Indian
Stormy,22:45,Metropolitian,Drinks,22,Dinner,Cool/Rainy,Biryani
Cloudy,22:10,Metropolitian,Snack,22,Dinner,Cool/Rainy,Biryani
Sandstorms,20:45,Metropolitian,Drinks,20,Dinner,Hot/Dry,Biryani
Cloudy,22:50,Metropolitian,Snack,22,Dinner,Cool/Rainy,Biryani
Sunny,17:55,Urban,Buffet,17,Tea-Time,Hot/Dry,Chaat
Sunny,22:45,Metropolitian,Snack,22,Dinner,Hot/Dry,Biryani
Fog,20:35,Semi-Urban,Snack,20,Dinner,Cool/Rainy,Biryani
Windy,09:25,,Buffet,9,Morning,Hot/Dry,Coffee
Cloudy,20:15,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Sandstorms,22:25,Urban,Drinks,22,Dinner,Hot/Dry,Biryani
Sunny,21:55,Metropolitian,Drinks,21,Dinner,Hot/Dry,Biryani
Cloudy,22:40,Metropolitian,Drinks,22,Dinner,Cool/Rainy,Biryani
Sandstorms,23:50,Urban,Buffet,23,Late-Night,Hot/Dry,Pizza
Fog,15:25,Metropolitian,Drinks,15,Lunch,Cool/Rainy,North Indian
Sandstorms,10:20,Metropolitian,Meal,10,Morning,Hot/Dry,North Indian
Stormy,20:55,Metropolitian,Meal,20,Dinner,Cool/Rainy,Biryani
Stormy,10:40,Metropolitian,Meal,10,Morning,Cool/Rainy,North Indian
Fog,15:55,Urban,Buffet,15,Lunch,Cool/Rainy,North Indian
Cloudy,20:10,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Sunny,12:10,Urban,Buffet,12,Lunch,Hot/Dry,Chaat
Fog,15:30,Metropolitian,Meal,15,Lunch,Cool/Rainy,North Indian
Sandstorms,22:10,Urban,Buffet,22,Dinner,Hot/Dry,Biryani
Fog,10:35,Metropolitian,Buffet,10,Morning,Cool/Rainy,Coffee
Sunny,,Metropolitian,Drinks,12,Lunch,Hot/Dry,Chaat
Fog,23:50,Metropolitian,Buffet,23,Late-Night,Cool/Rainy,Pizza
Fog,21:10,Metropolitian,Drinks,21,Dinner,Cool/Rainy,Biryani
Sandstorms,20:25,Metropolitian,Buffet,20,Dinner,Hot/Dry,Biryani
Fog,20:50,Metropolitian,Drinks,20,Dinner,Cool/Rainy,Biryani
Windy,12:35,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Cloudy,0.875,Metropolitian,Snack,12,Lunch,Cool/Rainy,North Indian
Windy,23:40,Metropolitian,Snack,23,Late-Night,Hot/Dry,Pizza
Cloudy,18:15,Metropolitian,Snack,18,Tea-Time,Cool/Rainy,Biryani
Stormy,18:20,Urban,Meal,18,Tea-Time,Cool/Rainy,Biryani
Stormy,11:45,Metropolitian,Buffet,11,Lunch,Cool/Rainy,North Indian
Stormy,20:45,Metropolitian,Buffet,20,Dinner,Cool/Rainy,Biryani
Stormy,21:55,Metropolitian,Meal,21,Dinner,Cool/Rainy,Biryani
Windy,12:45,Urban,Snack,12,Lunch,Hot/Dry,North Indian
Fog,23:30,Urban,Buffet,23,Late-Night,Cool/Rainy,Pizza
Fog,10:50,Metropolitian,Drinks,10,Morning,Cool/Rainy,Coffee
Stormy,21:25,Metropolitian,Meal,21,Dinner,Cool/Rainy,Biryani
Stormy,10:10,Metropolitian,Drinks,10,Morning,Cool/Rainy,North Indian
Sandstorms,0.958333333,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Cloudy,08:40,Urban,Drinks,8,Morning,Cool/Rainy,North Indian
Sunny,17:50,Metropolitian,Buffet,17,Tea-Time,Hot/Dry,Chaat
Stormy,20:25,Metropolitian,Meal,20,Dinner,Cool/Rainy,Biryani
Sunny,22:20,Metropolitian,Drinks,22,Dinner,Hot/Dry,Biryani
Sandstorms,23:40,Metropolitian,Drinks,23,Late-Night,Hot/Dry,Pizza
Fog,23:25,Metropolitian,Snack,23,Late-Night,Cool/Rainy,Pizza
Cloudy,12:40,Metropolitian,Meal,12,Lunch,Cool/Rainy,North Indian
Windy,23:30,Metropolitian,Snack,23,Late-Night,Hot/Dry,Pizza
